full_name,name,parent-location,GEOID,eviction-rate,poverty-rate,rent-burden,pct-renter-occupied,Program1Slope,Program2Slope,Program3Slope,5YearTrend,5YearTrendNum
Caldwell County-Kentucky,Caldwell County,Kentucky,21033,0.91,17.44,28.7,28.83,0.25,0.286,0.211,down,-1
Calloway County-Kentucky,Calloway County,Kentucky,21035,0.85,13.68,35.4,36.94,0.25,0.286,0.211,up,1
Carlisle County-Kentucky,Carlisle County,Kentucky,21039,0.67,15.52,25.8,20.84,0.25,0.286,0.211,down,-1
Carter County-Kentucky,Carter County,Kentucky,21043,0.07,13.16,27.7,21.98,0.25,0.286,0.211,up,1
Casey County-Kentucky,Casey County,Kentucky,21045,1.92,20.02,24.7,20.3,0.33,0.267,0.211,up,1
Clay County-Kentucky,Clay County,Kentucky,21051,0.17,34.98,37.2,25.87,0.5,0.286,0.211,down,-1
Clinton County-Kentucky,Clinton County,Kentucky,21053,0.83,17.93,26.8,25.04,0.25,0.286,0.211,down,-1
Crittenden County-Kentucky,Crittenden County,Kentucky,21055,0.43,16.96,22.7,22.05,0.25,0.267,0.211,down,-1
Cumberland County-Kentucky,Cumberland County,Kentucky,21057,1.29,20.59,23.6,28.22,0.33,0.267,0.211,up,1
Daviess County-Kentucky,Daviess County,Kentucky,21059,2.99,11.92,29.5,30.93,0.25,0.286,0.211,up,1
Edmonson County-Kentucky,Edmonson County,Kentucky,21061,1.13,14.71,27.8,18.44,0.25,0.286,0.211,up,1
Estill County-Kentucky,Estill County,Kentucky,21065,0.86,25.6,32,30.24,0.33,0.286,0.211,down,-1
Fayette County-Kentucky,Fayette County,Kentucky,21067,4.59,12.14,30.4,45.77,0.25,0.286,0.222,up,1
Fleming County-Kentucky,Fleming County,Kentucky,21069,0.59,16.22,26.7,24.45,0.25,0.286,0.211,up,1
Floyd County-Kentucky,Floyd County,Kentucky,21071,0.8,23.91,32.6,30.25,0.33,0.286,0.211,down,-1
Franklin County-Kentucky,Franklin County,Kentucky,21073,3.39,11.47,29.5,37.05,0.25,0.286,0.211,down,-1
Fulton County-Kentucky,Fulton County,Kentucky,21075,1.25,22.7,32.7,39.91,0.33,0.286,0.211,down,-1
Garrard County-Kentucky,Garrard County,Kentucky,21079,2.64,17.09,31.1,23.35,0.25,0.286,0.211,up,1
Grant County-Kentucky,Grant County,Kentucky,21081,1.36,15.27,27.7,29.56,0.25,0.286,0.211,up,1
Grayson County-Kentucky,Grayson County,Kentucky,21085,1.89,19.64,29.4,27.75,0.25,0.286,0.211,up,1
Green County-Kentucky,Green County,Kentucky,21087,1.18,14.6,32,20.71,0.25,0.286,0.211,up,1
Harlan County-Kentucky,Harlan County,Kentucky,21095,0.03,26.46,28.2,30.21,0.33,0.286,0.211,up,1
Harrison County-Kentucky,Harrison County,Kentucky,21097,1.8,18.41,32.8,32.71,0.25,0.286,0.211,up,1
Henderson County-Kentucky,Henderson County,Kentucky,21101,2.9,13.99,30.3,36.7,0.25,0.286,0.211,down,-1
Henry County-Kentucky,Henry County,Kentucky,21103,0.65,14.82,30.5,29.99,0.25,0.286,0.211,up,1
Hopkins County-Kentucky,Hopkins County,Kentucky,21107,2.7,12.77,27.1,28.45,0.25,0.286,0.211,down,-1
Jefferson County-Kentucky,Jefferson County,Kentucky,21111,4.49,11.82,29,38.12,0.25,0.286,0.211,down,-1
Johnson County-Kentucky,Johnson County,Kentucky,21115,0.66,20.91,31.4,25.11,0.33,0.286,0.211,up,1
Knott County-Kentucky,Knott County,Kentucky,21119,0.8,24.21,28.2,22.41,0.33,0.286,0.211,down,-1
Larue County-Kentucky,Larue County,Kentucky,21123,1.39,13.76,31.6,26.9,0.25,0.286,0.211,down,-1
Laurel County-Kentucky,Laurel County,Kentucky,21125,3.86,18.88,28.8,30.51,0.25,0.286,0.211,up,1
Lawrence County-Kentucky,Lawrence County,Kentucky,21127,0.88,17.98,30.6,22,0.25,0.286,0.211,up,1
Letcher County-Kentucky,Letcher County,Kentucky,21133,0.23,24.74,35,25.85,0.33,0.286,0.211,up,1
Lewis County-Kentucky,Lewis County,Kentucky,21135,1.11,24.66,27.7,23.41,0.33,0.286,0.211,up,1
Lincoln County-Kentucky,Lincoln County,Kentucky,21137,3.21,20.28,32.1,26.42,0.33,0.286,0.211,up,1
Livingston County-Kentucky,Livingston County,Kentucky,21139,0.12,13.22,28.3,20.78,0.25,0.286,0.211,up,1
Logan County-Kentucky,Logan County,Kentucky,21141,1.74,13.84,30.9,32.3,0.25,0.286,0.211,down,-1
Lyon County-Kentucky,Lyon County,Kentucky,21143,1.14,7.2,28.3,18.14,0.25,0.286,0.211,down,-1
McCracken County-Kentucky,McCracken County,Kentucky,21145,1.23,13.72,27.4,32.72,0.25,0.286,0.211,down,-1
McCreary County-Kentucky,McCreary County,Kentucky,21147,0.2,35.92,41.8,30.64,0.5,0.4,0.211,up,1
McLean County-Kentucky,McLean County,Kentucky,21149,1.45,14.36,26.8,19.47,0.25,0.286,0.211,up,1
Madison County-Kentucky,Madison County,Kentucky,21151,0.91,14.44,30.7,40.77,0.25,0.286,0.222,up,1
Marion County-Kentucky,Marion County,Kentucky,21155,3.85,16.04,29.8,25.57,0.25,0.286,0.211,up,1
Marshall County-Kentucky,Marshall County,Kentucky,21157,0.87,7.13,27.6,22.13,0.25,0.286,0.211,down,-1
Mason County-Kentucky,Mason County,Kentucky,21161,2.09,11.75,26.8,33.05,0.25,0.286,0.211,up,1
Metcalfe County-Kentucky,Metcalfe County,Kentucky,21169,1.25,15.38,28.1,22.79,0.25,0.286,0.211,up,1
Monroe County-Kentucky,Monroe County,Kentucky,21171,0.61,20.52,30.6,27.26,0.33,0.286,0.211,down,-1
Morgan County-Kentucky,Morgan County,Kentucky,21175,0.08,19.44,32.5,25.58,0.25,0.286,0.211,up,1
Muhlenberg County-Kentucky,Muhlenberg County,Kentucky,21177,0.86,14.52,27.8,20.5,0.25,0.286,0.211,down,-1
Nicholas County-Kentucky,Nicholas County,Kentucky,21181,0.39,15.96,28.7,28.65,0.25,0.286,0.211,up,1
Ohio County-Kentucky,Ohio County,Kentucky,21183,0.98,17.17,28.8,22.13,0.25,0.286,0.211,down,-1
Owen County-Kentucky,Owen County,Kentucky,21187,0.26,13.49,26.3,24.47,0.25,0.286,0.211,up,1
Pendleton County-Kentucky,Pendleton County,Kentucky,21191,0.56,11.49,24.7,22.52,0.25,0.267,0.211,up,1
Pike County-Kentucky,Pike County,Kentucky,21195,1.06,18.69,29.8,27.03,0.25,0.286,0.211,down,-1
Powell County-Kentucky,Powell County,Kentucky,21197,0.33,18.74,31.4,30.23,0.25,0.286,0.211,down,-1
Pulaski County-Kentucky,Pulaski County,Kentucky,21199,1.15,20.06,33.7,30.96,0.33,0.286,0.211,down,-1
Rockcastle County-Kentucky,Rockcastle County,Kentucky,21203,0.22,20.42,28.6,24.24,0.33,0.286,0.211,up,1
Russell County-Kentucky,Russell County,Kentucky,21207,1.3,19.76,28.4,26.57,0.25,0.286,0.211,up,1
Simpson County-Kentucky,Simpson County,Kentucky,21213,4.73,14.4,28.6,37.13,0.25,0.286,0.211,up,1
Taylor County-Kentucky,Taylor County,Kentucky,21217,3.5,18.99,35.3,34.57,0.25,0.286,0.211,up,1
Todd County-Kentucky,Todd County,Kentucky,21219,0.87,13.4,26.9,28.03,0.25,0.286,0.211,down,-1
Trigg County-Kentucky,Trigg County,Kentucky,21221,1.75,11.25,32.8,17.76,0.25,0.286,0.211,up,1
Union County-Kentucky,Union County,Kentucky,21225,1.06,18.78,30.4,27.81,0.25,0.286,0.211,up,1
Warren County-Kentucky,Warren County,Kentucky,21227,3.51,13.16,29.4,42.42,0.25,0.286,0.222,down,-1
Washington County-Kentucky,Washington County,Kentucky,21229,3.03,14.04,31.9,21.49,0.25,0.286,0.211,up,1
Wayne County-Kentucky,Wayne County,Kentucky,21231,0.53,25.33,36.5,29.37,0.33,0.286,0.211,down,-1
Webster County-Kentucky,Webster County,Kentucky,21233,1.98,13.66,25.4,29.3,0.25,0.286,0.211,up,1
Wolfe County-Kentucky,Wolfe County,Kentucky,21237,0.19,35.64,50,33.72,0.5,0.4,0.211,up,1
Acadia Parish-Louisiana,Acadia Parish,Louisiana,22001,1.78,16.33,27.9,29.39,0.25,0.286,0.211,up,1
Avoyelles Parish-Louisiana,Avoyelles Parish,Louisiana,22009,0.06,18.64,31.9,30.11,0.25,0.286,0.211,down,-1
Caddo Parish-Louisiana,Caddo Parish,Louisiana,22017,3.9,16.44,32.2,38.71,0.25,0.286,0.211,up,1
Calcasieu Parish-Louisiana,Calcasieu Parish,Louisiana,22019,3.05,12.96,30.1,31.39,0.25,0.286,0.211,down,-1
East Baton Rouge Parish-Louisiana,East Baton Rouge Parish,Louisiana,22033,5.57,13.32,33,40.3,0.25,0.286,0.222,down,-1
Jefferson Parish-Louisiana,Jefferson Parish,Louisiana,22051,2.81,13.01,32.3,38.14,0.25,0.286,0.211,down,-1
Lafayette Parish-Louisiana,Lafayette Parish,Louisiana,22055,1.83,12.1,28.9,35.64,0.25,0.286,0.211,up,1
Lafourche Parish-Louisiana,Lafourche Parish,Louisiana,22057,0.35,10.55,27.7,24.21,0.25,0.286,0.211,down,-1
Orleans Parish-Louisiana,Orleans Parish,Louisiana,22071,1.66,21.71,37,53.74,0.33,0.286,0.222,down,-1
Rapides Parish-Louisiana,Rapides Parish,Louisiana,22079,1.59,16.22,31.9,36.96,0.25,0.286,0.211,down,-1
St. Landry Parish-Louisiana,St. Landry Parish,Louisiana,22097,1.38,23.02,35.6,30.34,0.33,0.286,0.211,up,1
St. Martin Parish-Louisiana,St. Martin Parish,Louisiana,22099,1.11,13.52,26.5,21.53,0.25,0.286,0.211,down,-1
St. Tammany Parish-Louisiana,St. Tammany Parish,Louisiana,22103,1.83,8.83,32,22.94,0.25,0.286,0.211,up,1
Tangipahoa Parish-Louisiana,Tangipahoa Parish,Louisiana,22105,1.43,18.36,34.4,32.39,0.25,0.286,0.211,down,-1
Terrebonne Parish-Louisiana,Terrebonne Parish,Louisiana,22109,2.41,14.81,27.5,28.31,0.25,0.286,0.211,up,1
Vermilion Parish-Louisiana,Vermilion Parish,Louisiana,22113,1.39,13.33,25.5,24.77,0.25,0.286,0.211,down,-1
Washington Parish-Louisiana,Washington Parish,Louisiana,22117,0.02,20.28,37,27.63,0.33,0.286,0.211,up,1
West Baton Rouge Parish-Louisiana,West Baton Rouge Parish,Louisiana,22121,0.83,15.3,27.1,29.5,0.25,0.286,0.211,down,-1
Winn Parish-Louisiana,Winn Parish,Louisiana,22127,0.06,25.32,32.5,33.77,0.33,0.286,0.211,down,-1
Barnstable County-Massachusetts,Barnstable County,Massachusetts,25001,2.21,5.16,33.4,21.19,0.25,0.286,0.211,down,-1
Berkshire County-Massachusetts,Berkshire County,Massachusetts,25003,1.75,9.66,30.4,31.39,0.25,0.286,0.211,down,-1
Bristol County-Massachusetts,Bristol County,Massachusetts,25005,1.87,9.64,29.6,37.93,0.25,0.286,0.211,down,-1
Dukes County-Massachusetts,Dukes County,Massachusetts,25007,1.04,9.15,29.7,20.06,0.25,0.286,0.211,down,-1
Essex County-Massachusetts,Essex County,Massachusetts,25009,1.83,8.57,31.4,37.03,0.25,0.286,0.211,down,-1
Franklin County-Massachusetts,Franklin County,Massachusetts,25011,0.82,7.14,30.4,31.02,0.25,0.286,0.211,down,-1
Hampden County-Massachusetts,Hampden County,Massachusetts,25013,1.5,13.76,32.6,38.33,0.25,0.286,0.211,down,-1
Hampshire County-Massachusetts,Hampshire County,Massachusetts,25015,0.58,6.17,32.6,34.16,0.25,0.286,0.211,down,-1
Middlesex County-Massachusetts,Middlesex County,Massachusetts,25017,1.28,5.62,28.6,37.59,0.25,0.286,0.211,down,-1
Nantucket County-Massachusetts,Nantucket County,Massachusetts,25019,0.82,6.14,26.3,34.54,0.25,0.286,0.211,down,-1
Norfolk County-Massachusetts,Norfolk County,Massachusetts,25021,1.72,4.3,29.6,31.23,0.25,0.286,0.211,up,1
Plymouth County-Massachusetts,Plymouth County,Massachusetts,25023,1.79,5.92,32.4,23.97,0.25,0.286,0.211,down,-1
Suffolk County-Massachusetts,Suffolk County,Massachusetts,25025,1.36,16.28,31.1,64.38,0.25,0.286,0.222,down,-1
Worcester County-Massachusetts,Worcester County,Massachusetts,25027,1.59,8.36,29.7,35.27,0.25,0.286,0.211,down,-1
Caroline County-Maryland,Caroline County,Maryland,24011,0.14,12.35,32.4,29.51,0.25,0.286,0.211,down,-1
Garrett County-Maryland,Garrett County,Maryland,24023,0.16,9.58,27.6,25.42,0.25,0.286,0.211,down,-1
Prince George's County-Maryland,Prince George's County,Maryland,24033,3.74,6.91,31.1,38.01,0.25,0.286,0.211,up,1
Androscoggin County-Maine,Androscoggin County,Maine,23001,4.05,11.44,29.2,36.44,0.25,0.286,0.211,up,1
Aroostook County-Maine,Aroostook County,Maine,23003,1.62,12.68,30.1,29.34,0.25,0.286,0.211,up,1
Cumberland County-Maine,Cumberland County,Maine,23005,1.33,7.65,30.9,32.49,0.25,0.286,0.211,down,-1
Franklin County-Maine,Franklin County,Maine,23007,1.01,9.27,30.6,20.14,0.25,0.286,0.211,down,-1
Hancock County-Maine,Hancock County,Maine,23009,1.14,9.51,32.2,27.01,0.25,0.286,0.211,up,1
Kennebec County-Maine,Kennebec County,Maine,23011,3.72,9.32,30.6,29.71,0.25,0.286,0.211,up,1
Knox County-Maine,Knox County,Maine,23013,1.92,7.93,28.8,23.55,0.25,0.286,0.211,up,1
Lincoln County-Maine,Lincoln County,Maine,23015,1.93,7.86,29.8,20.53,0.25,0.286,0.211,up,1
Oxford County-Maine,Oxford County,Maine,23017,2.38,11.42,34,20.87,0.25,0.286,0.211,up,1
Penobscot County-Maine,Penobscot County,Maine,23019,2.48,10.59,33.2,32.41,0.25,0.286,0.211,down,-1
Piscataquis County-Maine,Piscataquis County,Maine,23021,1.01,13.25,31.5,25.38,0.25,0.286,0.211,up,1
Sagadahoc County-Maine,Sagadahoc County,Maine,23023,4.05,9.03,31.9,24.54,0.25,0.286,0.211,up,1
Somerset County-Maine,Somerset County,Maine,23025,2.72,13.06,36,23.39,0.25,0.286,0.211,up,1
Waldo County-Maine,Waldo County,Maine,23027,1.73,10.66,30.7,22.47,0.25,0.286,0.211,up,1
Washington County-Maine,Washington County,Maine,23029,1.15,13.04,28,24.76,0.25,0.286,0.211,down,-1
York County-Maine,York County,Maine,23031,2.31,6.26,30.8,26.83,0.25,0.286,0.211,down,-1
Alcona County-Michigan,Alcona County,Michigan,26001,0.95,10.17,29.3,10.94,0.25,0.286,0.211,up,1
Alger County-Michigan,Alger County,Michigan,26003,0.69,9.09,32.1,14.21,0.25,0.286,0.211,up,1
Allegan County-Michigan,Allegan County,Michigan,26005,6,9.55,25.7,19.15,0.25,0.286,0.211,down,-1
Alpena County-Michigan,Alpena County,Michigan,26007,0.86,13.01,29.6,23.81,0.25,0.286,0.211,down,-1
Antrim County-Michigan,Antrim County,Michigan,26009,1.7,9.93,33.1,16.44,0.25,0.286,0.211,down,-1
Arenac County-Michigan,Arenac County,Michigan,26011,0.86,14.16,30.6,16.98,0.25,0.286,0.211,down,-1
Baraga County-Michigan,Baraga County,Michigan,26013,0.87,11.75,28.8,16.01,0.25,0.286,0.211,down,-1
Barry County-Michigan,Barry County,Michigan,26015,4.67,6.82,29.1,18.05,0.25,0.286,0.211,down,-1
Bay County-Michigan,Bay County,Michigan,26017,5.94,10.65,31.8,22.26,0.25,0.286,0.211,up,1
Benzie County-Michigan,Benzie County,Michigan,26019,0.08,6.33,27.6,14.66,0.25,0.286,0.211,down,-1
Branch County-Michigan,Branch County,Michigan,26023,1.36,12.39,29.2,23.64,0.25,0.286,0.211,down,-1
Calhoun County-Michigan,Calhoun County,Michigan,26025,9.56,13.39,31,30.67,0.25,0.286,0.211,down,-1
Cass County-Michigan,Cass County,Michigan,26027,1.33,10.25,29.7,17.39,0.25,0.286,0.211,down,-1
Charlevoix County-Michigan,Charlevoix County,Michigan,26029,2.48,8.55,29.4,19.5,0.25,0.286,0.211,down,-1
Cheboygan County-Michigan,Cheboygan County,Michigan,26031,2.41,13.94,29.1,18.64,0.25,0.286,0.211,down,-1
Chippewa County-Michigan,Chippewa County,Michigan,26033,0.95,12.39,29.5,29.75,0.25,0.286,0.211,down,-1
Clare County-Michigan,Clare County,Michigan,26035,2.19,20.36,34.5,19.43,0.33,0.286,0.211,down,-1
Clinton County-Michigan,Clinton County,Michigan,26037,7.45,6.23,30.2,19.92,0.25,0.286,0.211,down,-1
Crawford County-Michigan,Crawford County,Michigan,26039,2.41,10.72,30,19.33,0.25,0.286,0.211,down,-1
Dickinson County-Michigan,Dickinson County,Michigan,26043,0.77,8.13,27.3,18.83,0.25,0.286,0.211,down,-1
Eaton County-Michigan,Eaton County,Michigan,26045,2.93,7.86,28.3,28.77,0.25,0.286,0.211,down,-1
Emmet County-Michigan,Emmet County,Michigan,26047,4,6.89,31.3,24.48,0.25,0.286,0.211,down,-1
Genesee County-Michigan,Genesee County,Michigan,26049,3.23,16.46,33.9,30.52,0.25,0.286,0.211,down,-1
Gladwin County-Michigan,Gladwin County,Michigan,26051,0.78,14.09,30.9,16.66,0.25,0.286,0.211,down,-1
Grand Traverse County-Michigan,Grand Traverse County,Michigan,26055,1.46,6.76,29.2,23.75,0.25,0.286,0.211,down,-1
Gratiot County-Michigan,Gratiot County,Michigan,26057,3.09,14.44,32.7,26.26,0.25,0.286,0.211,down,-1
Hillsdale County-Michigan,Hillsdale County,Michigan,26059,1.47,13.73,29.7,22.75,0.25,0.286,0.211,down,-1
Houghton County-Michigan,Houghton County,Michigan,26061,0.04,11.14,33.6,31.91,0.25,0.286,0.211,down,-1
Huron County-Michigan,Huron County,Michigan,26063,1.96,9.65,29.8,18.49,0.25,0.286,0.211,down,-1
Ingham County-Michigan,Ingham County,Michigan,26065,2.04,13.78,33.6,42.19,0.25,0.286,0.222,down,-1
Ionia County-Michigan,Ionia County,Michigan,26067,1.63,11.82,31.4,21.52,0.25,0.286,0.211,down,-1
Iosco County-Michigan,Iosco County,Michigan,26069,1.3,12.57,27.8,19.85,0.25,0.286,0.211,down,-1
Iron County-Michigan,Iron County,Michigan,26071,1.08,9.17,29.9,16.26,0.25,0.286,0.211,down,-1
Isabella County-Michigan,Isabella County,Michigan,26073,1.47,13.61,41.5,39.83,0.25,0.4,0.211,down,-1
Jackson County-Michigan,Jackson County,Michigan,26075,7.87,12.92,32.7,28.12,0.25,0.286,0.211,down,-1
Kalamazoo County-Michigan,Kalamazoo County,Michigan,26077,4.32,11.16,31.5,35.92,0.25,0.286,0.211,down,-1
Kalkaska County-Michigan,Kalkaska County,Michigan,26079,1.43,12.11,28.3,19.4,0.25,0.286,0.211,down,-1
Kent County-Michigan,Kent County,Michigan,26081,1.55,10.36,30,31.3,0.25,0.286,0.211,down,-1
Lake County-Michigan,Lake County,Michigan,26085,0.96,19.95,36,17.39,0.25,0.286,0.211,down,-1
Lapeer County-Michigan,Lapeer County,Michigan,26087,2.74,7.64,31,16.91,0.25,0.286,0.211,down,-1
Leelanau County-Michigan,Leelanau County,Michigan,26089,0.59,5.94,29.3,15.14,0.25,0.286,0.211,up,1
Lenawee County-Michigan,Lenawee County,Michigan,26091,3.19,9.62,31.2,23.14,0.25,0.286,0.211,down,-1
Livingston County-Michigan,Livingston County,Michigan,26093,0.45,4.12,28.5,15.4,0.25,0.286,0.211,down,-1
Luce County-Michigan,Luce County,Michigan,26095,1.7,15.34,29.4,24.48,0.25,0.286,0.211,down,-1
Mackinac County-Michigan,Mackinac County,Michigan,26097,0.34,11.69,27,26.3,0.25,0.286,0.211,down,-1
Macomb County-Michigan,Macomb County,Michigan,26099,3.68,9.98,31.1,26.71,0.25,0.286,0.211,down,-1
Manistee County-Michigan,Manistee County,Michigan,26101,1.2,10.83,29.6,19.23,0.25,0.286,0.211,down,-1
Marquette County-Michigan,Marquette County,Michigan,26103,2.51,9.42,30.9,31.36,0.25,0.286,0.211,up,1
Mason County-Michigan,Mason County,Michigan,26105,1.45,12.3,31,24.95,0.25,0.286,0.211,down,-1
Mecosta County-Michigan,Mecosta County,Michigan,26107,1.9,12.85,35.8,25.49,0.25,0.286,0.211,down,-1
Menominee County-Michigan,Menominee County,Michigan,26109,1.08,11.65,28.4,21.43,0.25,0.286,0.211,down,-1
Midland County-Michigan,Midland County,Michigan,26111,2.63,9.11,29.4,24.63,0.25,0.286,0.211,down,-1
Missaukee County-Michigan,Missaukee County,Michigan,26113,0.86,12.55,28.8,18,0.25,0.286,0.211,down,-1
Monroe County-Michigan,Monroe County,Michigan,26115,6.06,8.1,29.2,20.54,0.25,0.286,0.211,down,-1
Montcalm County-Michigan,Montcalm County,Michigan,26117,1.09,12.81,29.6,20.94,0.25,0.286,0.211,down,-1
Montmorency County-Michigan,Montmorency County,Michigan,26119,0.62,11.21,33.6,14.47,0.25,0.286,0.211,down,-1
Muskegon County-Michigan,Muskegon County,Michigan,26121,10.1,14.5,34.9,25.07,0.25,0.286,0.211,down,-1
Newaygo County-Michigan,Newaygo County,Michigan,26123,4.46,14.24,32.7,16.85,0.25,0.286,0.211,down,-1
Oakland County-Michigan,Oakland County,Michigan,26125,1.12,7.44,28.2,29.54,0.25,0.286,0.211,down,-1
Ogemaw County-Michigan,Ogemaw County,Michigan,26129,0.5,15.68,36.7,18.5,0.25,0.286,0.211,down,-1
Ontonagon County-Michigan,Ontonagon County,Michigan,26131,0.62,9.94,31.7,12.16,0.25,0.286,0.211,down,-1
Osceola County-Michigan,Osceola County,Michigan,26133,1.61,15.72,30.8,21.18,0.25,0.286,0.211,down,-1
Oscoda County-Michigan,Oscoda County,Michigan,26135,0.59,13.55,32.4,15.44,0.25,0.286,0.211,down,-1
Otsego County-Michigan,Otsego County,Michigan,26137,2.73,8.65,31.7,20.88,0.25,0.286,0.211,down,-1
Ottawa County-Michigan,Ottawa County,Michigan,26139,3.87,6.14,29.1,22.9,0.25,0.286,0.211,down,-1
Presque Isle County-Michigan,Presque Isle County,Michigan,26141,0.83,9.25,28.2,12.7,0.25,0.286,0.211,down,-1
Roscommon County-Michigan,Roscommon County,Michigan,26143,1.74,14.54,36.8,17.67,0.25,0.286,0.211,down,-1
Saginaw County-Michigan,Saginaw County,Michigan,26145,7.25,13.48,32.7,27.79,0.25,0.286,0.211,down,-1
St. Joseph County-Michigan,St. Joseph County,Michigan,26149,1.4,12.54,29.1,24.98,0.25,0.286,0.211,down,-1
Sanilac County-Michigan,Sanilac County,Michigan,26151,4.26,9.99,29.3,20.09,0.25,0.286,0.211,down,-1
Schoolcraft County-Michigan,Schoolcraft County,Michigan,26153,0.14,15.16,36.5,19.89,0.25,0.286,0.211,down,-1
Shiawassee County-Michigan,Shiawassee County,Michigan,26155,6.23,11.27,29.2,23.9,0.25,0.286,0.211,down,-1
Tuscola County-Michigan,Tuscola County,Michigan,26157,1.47,11.15,31.4,18.57,0.25,0.286,0.211,down,-1
Van Buren County-Michigan,Van Buren County,Michigan,26159,2.2,13.46,30,22.6,0.25,0.286,0.211,down,-1
Wayne County-Michigan,Wayne County,Michigan,26163,3.96,19.89,35.5,37.02,0.25,0.286,0.211,down,-1
Wexford County-Michigan,Wexford County,Michigan,26165,2.03,12.04,29.8,23.31,0.25,0.286,0.211,down,-1
Aitkin County-Minnesota,Aitkin County,Minnesota,27001,0.47,7.75,29.7,17.6,0.25,0.286,0.211,up,1
Anoka County-Minnesota,Anoka County,Minnesota,27003,0.64,5.52,30.8,20.05,0.25,0.286,0.211,down,-1
Becker County-Minnesota,Becker County,Minnesota,27005,0.38,8.3,27.5,20.86,0.25,0.286,0.211,up,1
Beltrami County-Minnesota,Beltrami County,Minnesota,27007,0.83,12.95,28.9,30.93,0.25,0.286,0.211,up,1
Big Stone County-Minnesota,Big Stone County,Minnesota,27011,0.21,11.14,27.8,20.99,0.25,0.286,0.211,up,1
Blue Earth County-Minnesota,Blue Earth County,Minnesota,27013,0.34,8.38,32.2,35.4,0.25,0.286,0.211,down,-1
Brown County-Minnesota,Brown County,Minnesota,27015,0.17,5.7,27.2,22.26,0.25,0.286,0.211,down,-1
Carlton County-Minnesota,Carlton County,Minnesota,27017,0.52,8.21,28.3,21.33,0.25,0.286,0.211,up,1
Carver County-Minnesota,Carver County,Minnesota,27019,0.26,2.84,27.8,19.66,0.25,0.286,0.211,down,-1
Cass County-Minnesota,Cass County,Minnesota,27021,0.92,12.74,27.7,19.23,0.25,0.286,0.211,up,1
Chippewa County-Minnesota,Chippewa County,Minnesota,27023,0.27,10.29,23.6,29.67,0.25,0.267,0.211,up,1
Chisago County-Minnesota,Chisago County,Minnesota,27025,0.61,2.86,30,15.04,0.25,0.286,0.211,down,-1
Clay County-Minnesota,Clay County,Minnesota,27027,1.24,7.32,34.6,29.81,0.25,0.286,0.211,up,1
Clearwater County-Minnesota,Clearwater County,Minnesota,27029,0.13,12.31,28,21.54,0.25,0.286,0.211,up,1
Cook County-Minnesota,Cook County,Minnesota,27031,0.15,5.6,24.6,26.28,0.25,0.267,0.211,up,1
Cottonwood County-Minnesota,Cottonwood County,Minnesota,27033,0.26,11.18,28.5,21.34,0.25,0.286,0.211,up,1
Crow Wing County-Minnesota,Crow Wing County,Minnesota,27035,0.8,8.05,29.6,24.72,0.25,0.286,0.211,up,1
Dakota County-Minnesota,Dakota County,Minnesota,27037,0.49,5.13,28.4,25.25,0.25,0.286,0.211,down,-1
Dodge County-Minnesota,Dodge County,Minnesota,27039,0.28,3.99,25.8,17.14,0.25,0.286,0.211,down,-1
Douglas County-Minnesota,Douglas County,Minnesota,27041,0.69,4.79,28.5,23.7,0.25,0.286,0.211,up,1
Faribault County-Minnesota,Faribault County,Minnesota,27043,0.08,9.44,23.8,23.17,0.25,0.267,0.211,down,-1
Fillmore County-Minnesota,Fillmore County,Minnesota,27045,0.11,7.37,28.1,21.67,0.25,0.286,0.211,down,-1
Freeborn County-Minnesota,Freeborn County,Minnesota,27047,0.28,8.27,27,23.61,0.25,0.286,0.211,down,-1
Goodhue County-Minnesota,Goodhue County,Minnesota,27049,0.38,7.61,29.2,24.2,0.25,0.286,0.211,down,-1
Grant County-Minnesota,Grant County,Minnesota,27051,0.72,6.51,28.1,19.72,0.25,0.286,0.211,up,1
Hennepin County-Minnesota,Hennepin County,Minnesota,27053,0.74,8.13,29.2,37.29,0.25,0.286,0.211,down,-1
Hubbard County-Minnesota,Hubbard County,Minnesota,27057,0.17,6.4,26.7,18.64,0.25,0.286,0.211,up,1
Isanti County-Minnesota,Isanti County,Minnesota,27059,0.48,4.44,29.9,19.14,0.25,0.286,0.211,down,-1
Jackson County-Minnesota,Jackson County,Minnesota,27063,0.1,8.82,23.8,23.52,0.25,0.267,0.211,up,1
Kanabec County-Minnesota,Kanabec County,Minnesota,27065,1.57,10.71,30.9,19.66,0.25,0.286,0.211,down,-1
Kandiyohi County-Minnesota,Kandiyohi County,Minnesota,27067,0.25,7.86,30.6,27.4,0.25,0.286,0.211,up,1
Lake County-Minnesota,Lake County,Minnesota,27075,0.1,7.54,29.4,20.15,0.25,0.286,0.211,up,1
Le Sueur County-Minnesota,Le Sueur County,Minnesota,27079,0.91,5.34,28.2,18.51,0.25,0.286,0.211,down,-1
Lincoln County-Minnesota,Lincoln County,Minnesota,27081,0.19,5.72,23.4,20.7,0.25,0.267,0.211,down,-1
Lyon County-Minnesota,Lyon County,Minnesota,27083,0.11,8.87,24,32.26,0.25,0.267,0.211,up,1
McLeod County-Minnesota,McLeod County,Minnesota,27085,0.2,5.6,24.6,23.75,0.25,0.267,0.211,down,-1
Mahnomen County-Minnesota,Mahnomen County,Minnesota,27087,1.02,19.24,27.4,26.64,0.25,0.286,0.211,up,1
