,full_name,county,state,r2_adj,per_rmse,sig,r2_score,error_score,sig_score,overall_score,sampleSize,intercept,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x1_c,x2_c,x3_c,x4_c,x5_c,x6_c,x7_c,x8_c,x9_c,x10_c,x11_c,x12_c,x13_c,x14_c
Polk County-Iowa,Polk County-Iowa,Polk County,Iowa,0.767629787,0.07950643,2.99E-05,1,1,3,5,16,10.66657304,poverty-rate,rent-burden,,,,,,,,,,,,,-0.251690157,-0.206525893,,,,,,,,,,,,
Kanawha County-West Virginia,Kanawha County-West Virginia,Kanawha County,West Virginia,0.766883727,0.11038296,5.38E-06,1,1,3,5,16,-4.982231886,median-property-value,,,,,,,,,,,,,,9.39E-05,,,,,,,,,,,,,
Clinton County-Indiana,Clinton County-Indiana,Clinton County,Indiana,0.766584772,0.201495104,5.42E-06,1,1,3,5,16,0.385991448,pct-af-am,,,,,,,,,,,,,,8.087822442,,,,,,,,,,,,,
Laclede County-Missouri,Laclede County-Missouri,Laclede County,Missouri,0.766521027,0.250967504,2.54E-06,1,1,3,5,17,-8.278124935,population,,,,,,,,,,,,,,0.000260616,,,,,,,,,,,,,
Grayson County-Kentucky,Grayson County-Kentucky,Grayson County,Kentucky,0.765094935,0.12198079,1.55E-05,1,1,3,5,17,-0.249058708,pct-am-ind,pct-asian,,,,,,,,,,,,,2.03364382,6.921540784,,,,,,,,,,,,
Wood County-Wisconsin,Wood County-Wisconsin,Wood County,Wisconsin,0.764264791,0.086511075,1.59E-05,1,1,3,5,17,-3.777273334,poverty-rate,renter-occupied-households,,,,,,,,,,,,,0.085737629,0.000591699,,,,,,,,,,,,
Cochise County-Arizona,Cochise County-Arizona,Cochise County,Arizona,0.763835062,0.127160543,0.033499277,1,1,3,5,5,36.45957693,renter-occupied-households,,,,,,,,,,,,,,-0.002330009,,,,,,,,,,,,,
Houghton County-Michigan,Houghton County-Michigan,Houghton County,Michigan,0.762865248,0.293419939,3.42E-05,1,1,3,5,16,-0.250114812,pct-af-am,pct-nh-pi,,,,,,,,,,,,,0.583325018,9.917762851,,,,,,,,,,,,
St. Mary Parish-Louisiana,St. Mary Parish-Louisiana,St. Mary Parish,Louisiana,0.762669938,0.286528932,0.002859944,1,1,3,5,8,-3.818045796,renter-occupied-households,,,,,,,,,,,,,,0.000766595,,,,,,,,,,,,,
Essex County-Vermont,Essex County-Vermont,Essex County,Vermont,0.762641173,0.738462069,2.88E-06,1,0,3,4,17,-6.209639169,renter-occupied-households,,,,,,,,,,,,,,0.011419803,,,,,,,,,,,,,
Iosco County-Michigan,Iosco County-Michigan,Iosco County,Michigan,0.762339507,0.235487015,1.31E-05,1,1,3,5,15,-8.048845238,pct-asian,,,,,,,,,,,,,,18.5297619,,,,,,,,,,,,,
Ravalli County-Montana,Ravalli County-Montana,Ravalli County,Montana,0.761540651,0.36711257,3.54E-05,1,0,3,4,16,0.279135166,pct-am-ind,pct-asian,,,,,,,,,,,,,-0.933823782,2.006599389,,,,,,,,,,,,
Delta County-Texas,Delta County-Texas,Delta County,Texas,0.761099422,0.729216581,3.03E-06,1,0,3,4,17,0.035833333,pct-nh-pi,,,,,,,,,,,,,,21.55416667,,,,,,,,,,,,,
Angelina County-Texas,Angelina County-Texas,Angelina County,Texas,0.760980915,0.134678382,0.034133847,1,1,3,5,5,-10.40419412,renter-occupied-households,,,,,,,,,,,,,,0.001374072,,,,,,,,,,,,,
Fulton County-New York,Fulton County-New York,Fulton County,New York,0.760909585,0.370897284,0.000612686,1,0,3,4,10,-2.911636694,pct-multiple,,,,,,,,,,,,,,2.483015441,,,,,,,,,,,,,
Mobile County-Alabama,Mobile County-Alabama,Mobile County,Alabama,0.759929785,0.130858065,2.97E-05,1,1,3,5,14,-2.938082192,pct-other,,,,,,,,,,,,,,55.34246575,,,,,,,,,,,,,
Cole County-Missouri,Cole County-Missouri,Cole County,Missouri,0.759853164,0.126451357,3.15E-06,1,1,3,5,17,-1.578377967,pct-asian,,,,,,,,,,,,,,3.172433543,,,,,,,,,,,,,
Chester County-Pennsylvania,Chester County-Pennsylvania,Chester County,Pennsylvania,0.75947716,0.125527586,1.83E-05,1,1,3,5,17,10.53659666,pct-renter-occupied,renter-occupied-households,,,,,,,,,,,,,-0.167386835,-0.000106827,,,,,,,,,,,,
Denver County-Colorado,Denver County-Colorado,Denver County,Colorado,0.757690143,0.149070694,1.93E-05,1,1,3,5,17,51.06584782,pct-white,renter-occupied-households,,,,,,,,,,,,,-0.759785698,-5.47E-05,,,,,,,,,,,,
Brunswick County-North Carolina,Brunswick County-North Carolina,Brunswick County,North Carolina,0.757661613,0.291605064,6.66E-05,1,1,3,5,13,12.40041765,poverty-rate,,,,,,,,,,,,,,-0.871016772,,,,,,,,,,,,,
Perry County-Mississippi,Perry County-Mississippi,Perry County,Mississippi,0.757464484,0.432832488,1.94E-05,1,0,3,4,17,7.282604964,pct-renter-occupied,median-gross-rent,,,,,,,,,,,,,-0.535050648,0.003060019,,,,,,,,,,,,
Clay County-West Virginia,Clay County-West Virginia,Clay County,West Virginia,0.756653617,0.4033264,3.48E-06,1,0,3,4,17,19.6266707,population,,,,,,,,,,,,,,-0.001874535,,,,,,,,,,,,,
Champaign County-Illinois,Champaign County-Illinois,Champaign County,Illinois,0.756011918,0.113998805,3.55E-06,1,1,3,5,17,7.015395203,renter-occupied-households,,,,,,,,,,,,,,-0.000140139,,,,,,,,,,,,,
Early County-Georgia,Early County-Georgia,Early County,Georgia,0.754277963,0.807508963,0.000685523,1,0,3,4,10,2.402666667,median-property-value,,,,,,,,,,,,,,-2.94E-05,,,,,,,,,,,,,
Passaic County-New Jersey,Passaic County-New Jersey,Passaic County,New Jersey,0.753043204,0.748222981,8.11E-06,1,0,3,4,16,4.867172337,rent-burden,,,,,,,,,,,,,,-0.129622784,,,,,,,,,,,,,
Clinton County-Ohio,Clinton County-Ohio,Clinton County,Ohio,0.752001532,0.124594736,8.35E-06,1,1,3,5,16,5.363700783,pct-multiple,,,,,,,,,,,,,,-1.530525984,,,,,,,,,,,,,
Madison County-Montana,Madison County-Montana,Madison County,Montana,0.751829971,0.552595108,4.05E-06,1,0,3,4,17,0.062727273,pct-nh-pi,,,,,,,,,,,,,,1.884960718,,,,,,,,,,,,,
Carbon County-Utah,Carbon County-Utah,Carbon County,Utah,0.748943277,0.444588065,0.003403579,1,0,3,4,8,-16.15099046,renter-occupied-households,,,,,,,,,,,,,,0.007284202,,,,,,,,,,,,,
San Miguel County-New Mexico,San Miguel County-New Mexico,San Miguel County,New Mexico,0.748472682,0.19953291,0.001600025,1,1,3,5,9,-12.41579346,renter-occupied-households,,,,,,,,,,,,,,0.004382229,,,,,,,,,,,,,
Roscommon County-Michigan,Roscommon County-Michigan,Roscommon County,Michigan,0.747342149,0.218696036,4.06E-05,1,1,3,5,14,28.36948453,median-household-income,,,,,,,,,,,,,,-0.00073992,,,,,,,,,,,,,
Catoosa County-Georgia,Catoosa County-Georgia,Catoosa County,Georgia,0.747213945,0.064561674,0.000175516,1,1,3,5,12,11.22339835,renter-occupied-households,,,,,,,,,,,,,,-0.000917105,,,,,,,,,,,,,
Monroe County-Kentucky,Monroe County-Kentucky,Monroe County,Kentucky,0.746870492,0.279538133,2.61E-05,1,1,3,5,17,4.902297038,poverty-rate,pct-af-am,,,,,,,,,,,,,-0.147600673,-0.428770469,,,,,,,,,,,,
Rockcastle County-Kentucky,Rockcastle County-Kentucky,Rockcastle County,Kentucky,0.74643511,0.629251993,4.77E-06,1,0,3,4,17,0.069090909,pct-nh-pi,,,,,,,,,,,,,,97.09090909,,,,,,,,,,,,,
Guernsey County-Ohio,Guernsey County-Ohio,Guernsey County,Ohio,0.746169919,0.146801339,4.81E-06,1,1,3,5,17,98.92268223,pct-white,,,,,,,,,,,,,,-1.023237316,,,,,,,,,,,,,
Spalding County-Georgia,Spalding County-Georgia,Spalding County,Georgia,0.745697711,0.264031909,4.88E-06,1,1,3,5,17,-27.05404796,median-property-value,,,,,,,,,,,,,,0.000351948,,,,,,,,,,,,,
Lebanon County-Pennsylvania,Lebanon County-Pennsylvania,Lebanon County,Pennsylvania,0.744353219,0.157048904,0.000220289,1,1,3,5,14,3.301986602,rent-burden,pct-am-ind,,,,,,,,,,,,,-0.136539669,29.05669528,,,,,,,,,,,,
Monmouth County-New Jersey,Monmouth County-New Jersey,Monmouth County,New Jersey,0.744067327,0.862501939,1.05E-05,1,0,3,4,16,3.799166667,pct-nh-pi,,,,,,,,,,,,,,-125.3333333,,,,,,,,,,,,,
Westmoreland County-Pennsylvania,Westmoreland County-Pennsylvania,Westmoreland County,Pennsylvania,0.743526032,0.106938091,5.20E-06,1,1,3,5,17,10.66335782,renter-occupied-households,,,,,,,,,,,,,,-0.000237195,,,,,,,,,,,,,
Los Angeles County-California,Los Angeles County-California,Los Angeles County,California,0.74257282,0.174545741,2.94E-05,1,1,3,5,17,12.29387882,median-household-income,pct-nh-pi,,,,,,,,,,,,,-7.38E-05,-28.10880303,,,,,,,,,,,,
Martin County-Indiana,Martin County-Indiana,Martin County,Indiana,0.741778775,0.513584411,5.48E-06,1,0,3,4,17,-0.609069853,pct-multiple,,,,,,,,,,,,,,1.229443832,,,,,,,,,,,,,
Union County-Pennsylvania,Union County-Pennsylvania,Union County,Pennsylvania,0.74138601,0.188865639,3.04E-05,1,1,3,5,17,5.274887998,pct-renter-occupied,pct-nh-pi,,,,,,,,,,,,,-0.190366337,20.49796895,,,,,,,,,,,,
Franklin County-Indiana,Franklin County-Indiana,Franklin County,Indiana,0.74034294,0.737830491,5.72E-06,1,0,3,4,17,3.515492498,median-household-income,,,,,,,,,,,,,,-6.79E-05,,,,,,,,,,,,,
Cook County-Illinois,Cook County-Illinois,Cook County,Illinois,0.73748245,0.373852074,6.22E-06,1,0,3,4,17,58.70488164,population,,,,,,,,,,,,,,-1.09E-05,,,,,,,,,,,,,
Gallia County-Ohio,Gallia County-Ohio,Gallia County,Ohio,0.735426597,0.345411521,6.96E-05,1,1,3,5,16,-3.746737085,pct-renter-occupied,renter-occupied-households,,,,,,,,,,,,,-0.191634694,0.002970298,,,,,,,,,,,,
Douglas County-Kansas,Douglas County-Kansas,Douglas County,Kansas,0.734140125,0.08647743,6.85E-06,1,1,3,5,17,-0.361271911,median-household-income,,,,,,,,,,,,,,4.07E-05,,,,,,,,,,,,,
Brantley County-Georgia,Brantley County-Georgia,Brantley County,Georgia,0.733541942,0.255325291,3.75E-05,1,1,3,5,17,-14.32065054,median-property-value,pct-multiple,,,,,,,,,,,,,0.000259747,-0.909278132,,,,,,,,,,,,
Houston County-Alabama,Houston County-Alabama,Houston County,Alabama,0.733345144,0.188811104,1.40E-05,1,1,3,5,16,-3.204210591,pct-asian,,,,,,,,,,,,,,6.911862733,,,,,,,,,,,,,
Tarrant County-Texas,Tarrant County-Texas,Tarrant County,Texas,0.733302677,0.066341527,1.40E-05,1,1,3,5,16,24.15474714,pct-renter-occupied,,,,,,,,,,,,,,-0.503985427,,,,,,,,,,,,,
Ashland County-Wisconsin,Ashland County-Wisconsin,Ashland County,Wisconsin,0.732926555,0.226521593,7.09E-06,1,1,3,5,17,-7.044303137,rent-burden,,,,,,,,,,,,,,0.323520444,,,,,,,,,,,,,
Covington city-Virginia,Covington city-Virginia,Covington city,Virginia,0.731337865,0.259185246,3.97E-05,1,1,3,5,17,-3.183818889,pct-renter-occupied,median-property-value,,,,,,,,,,,,,0.3315124,-6.58E-05,,,,,,,,,,,,
Grant County-Indiana,Grant County-Indiana,Grant County,Indiana,0.73055685,0.14916975,3.01E-05,1,1,3,5,15,-19.70277499,renter-occupied-households,,,,,,,,,,,,,,0.002876217,,,,,,,,,,,,,
Butts County-Georgia,Butts County-Georgia,Butts County,Georgia,0.730491779,0.513615814,0.000492958,1,0,3,4,11,27.77237288,median-gross-rent,,,,,,,,,,,,,,-0.03459661,,,,,,,,,,,,,
Whitman County-Washington,Whitman County-Washington,Whitman County,Washington,0.730395875,0.132630875,0.004246011,1,1,3,5,8,0.113728455,poverty-rate,,,,,,,,,,,,,,0.017596179,,,,,,,,,,,,,
Trimble County-Kentucky,Trimble County-Kentucky,Trimble County,Kentucky,0.729056132,0.761750276,7.91E-06,1,0,3,4,17,4.011521882,median-property-value,,,,,,,,,,,,,,-3.53E-05,,,,,,,,,,,,,
Taylor County-Texas,Taylor County-Texas,Taylor County,Texas,0.726708741,0.108420617,8.45E-06,1,1,3,5,17,-0.891880274,pct-asian,,,,,,,,,,,,,,2.703679117,,,,,,,,,,,,,
Clatsop County-Oregon,Clatsop County-Oregon,Clatsop County,Oregon,0.726009047,0.188679856,1.70E-05,1,1,3,5,16,8.604227966,median-household-income,,,,,,,,,,,,,,-0.000157866,,,,,,,,,,,,,
Hill County-Montana,Hill County-Montana,Hill County,Montana,0.724881062,0.408473736,8.89E-06,1,0,3,4,17,-1.163080853,pct-multiple,,,,,,,,,,,,,,0.548156872,,,,,,,,,,,,,
Clinch County-Georgia,Clinch County-Georgia,Clinch County,Georgia,0.722589343,0.672131545,9.48E-06,1,0,3,4,17,-0.302796167,pct-asian,,,,,,,,,,,,,,4.121944098,,,,,,,,,,,,,
Butler County-Ohio,Butler County-Ohio,Butler County,Ohio,0.720968445,0.091178541,1.94E-05,1,1,3,5,16,-3.267732957,rent-burden,,,,,,,,,,,,,,0.306727154,,,,,,,,,,,,,
Spartanburg County-South Carolina,Spartanburg County-South Carolina,Spartanburg County,South Carolina,0.720862324,0.240107093,0.043539991,1,1,3,5,5,116.9027283,renter-occupied-households,,,,,,,,,,,,,,-0.003249954,,,,,,,,,,,,,
Canyon County-Idaho,Canyon County-Idaho,Canyon County,Idaho,0.719929241,0.205600452,0.000333451,1,1,3,5,16,4.339366726,poverty-rate,pct-nh-pi,renter-occupied-households,,,,,,,,,,,,-0.24817716,9.96144295,-5.27E-05,,,,,,,,,,,
Monroe County-Indiana,Monroe County-Indiana,Monroe County,Indiana,0.719255418,0.251052128,1.04E-05,1,1,3,5,17,5.36341364,median-property-value,,,,,,,,,,,,,,-2.87E-05,,,,,,,,,,,,,
Greenlee County-Arizona,Greenlee County-Arizona,Greenlee County,Arizona,0.718176582,0.806909223,1.07E-05,1,0,3,4,17,0.615315682,pct-asian,,,,,,,,,,,,,,-1.406313646,,,,,,,,,,,,,
Muskogee County-Oklahoma,Muskogee County-Oklahoma,Muskogee County,Oklahoma,0.717964605,0.109767024,0.000199591,1,1,3,5,15,-9.644686268,pct-am-ind,renter-occupied-households,,,,,,,,,,,,,0.12495156,0.001158092,,,,,,,,,,,,
Atlantic County-New Jersey,Atlantic County-New Jersey,Atlantic County,New Jersey,0.716640421,1.012683604,2.16E-05,1,0,3,4,16,-4.155,pct-nh-pi,,,,,,,,,,,,,,208.4166667,,,,,,,,,,,,,
Onondaga County-New York,Onondaga County-New York,Onondaga County,New York,0.712861343,0.062032769,0.021534685,1,1,3,5,6,-1.720262525,renter-occupied-households,,,,,,,,,,,,,,2.95E-05,,,,,,,,,,,,,
Chenango County-New York,Chenango County-New York,Chenango County,New York,0.711804257,0.870550825,1.27E-05,1,0,3,4,17,-1.835808955,renter-occupied-households,,,,,,,,,,,,,,0.000366436,,,,,,,,,,,,,
Marion County-Kentucky,Marion County-Kentucky,Marion County,Kentucky,0.710686507,0.17231385,4.83E-05,1,1,3,5,15,-3.875906177,renter-occupied-households,,,,,,,,,,,,,,0.00336775,,,,,,,,,,,,,
Elmore County-Alabama,Elmore County-Alabama,Elmore County,Alabama,0.710617949,0.151387431,0.000815552,1,1,3,5,13,-0.651803206,median-gross-rent,pct-nh-pi,,,,,,,,,,,,,0.003387824,-7.95858318,,,,,,,,,,,,
Pocahontas County-West Virginia,Pocahontas County-West Virginia,Pocahontas County,West Virginia,0.710355392,0.402795298,1.32E-05,1,0,3,4,17,-4.084572948,median-gross-rent,,,,,,,,,,,,,,0.01187171,,,,,,,,,,,,,
Kenosha County-Wisconsin,Kenosha County-Wisconsin,Kenosha County,Wisconsin,0.710284547,0.057065723,1.32E-05,1,1,3,5,17,1.388675032,median-property-value,,,,,,,,,,,,,,1.39E-05,,,,,,,,,,,,,
Kanabec County-Minnesota,Kanabec County-Minnesota,Kanabec County,Minnesota,0.709186378,0.516020072,6.91E-05,1,0,3,4,17,26.20839678,poverty-rate,pct-white,,,,,,,,,,,,,1.136333561,-0.380086526,,,,,,,,,,,,
Van Buren County-Michigan,Van Buren County-Michigan,Van Buren County,Michigan,0.708497855,0.163759628,0.00045342,1,1,3,5,14,8.651726586,pct-asian,pct-nh-pi,,,,,,,,,,,,,-9.07759671,16.91271038,,,,,,,,,,,,
Cumberland County-Tennessee,Cumberland County-Tennessee,Cumberland County,Tennessee,0.707932002,0.138299042,0.005447259,1,1,3,5,8,4.664095797,pct-am-ind,,,,,,,,,,,,,,-11.93450635,,,,,,,,,,,,,
Bucks County-Pennsylvania,Bucks County-Pennsylvania,Bucks County,Pennsylvania,0.706782599,0.245856132,7.32E-05,1,1,3,5,17,31.48168893,pct-renter-occupied,renter-occupied-households,,,,,,,,,,,,,-0.573229012,-0.000296826,,,,,,,,,,,,
Linn County-Iowa,Linn County-Iowa,Linn County,Iowa,0.704251343,0.135071547,2.94E-05,1,1,3,5,16,-28.13765711,poverty-rate,,,,,,,,,,,,,,4.999342624,,,,,,,,,,,,,
Adams County-Pennsylvania,Adams County-Pennsylvania,Adams County,Pennsylvania,0.703438805,0.139591737,7.92E-05,1,1,3,5,17,7.778652887,pct-other,renter-occupied-households,,,,,,,,,,,,,3.188168045,-0.000682996,,,,,,,,,,,,
Rusk County-Wisconsin,Rusk County-Wisconsin,Rusk County,Wisconsin,0.703328801,0.235308275,1.58E-05,1,1,3,5,17,-0.354076436,pct-af-am,,,,,,,,,,,,,,2.052745688,,,,,,,,,,,,,
Lincoln Parish-Louisiana,Lincoln Parish-Louisiana,Lincoln Parish,Louisiana,0.703244637,0.084423555,0.000208394,1,1,3,5,13,0.903237664,pct-hispanic,,,,,,,,,,,,,,0.380790534,,,,,,,,,,,,,
Lee County-Kentucky,Lee County-Kentucky,Lee County,Kentucky,0.702761021,0.717022097,1.61E-05,1,0,3,4,17,30.5681421,pct-white,,,,,,,,,,,,,,-0.315204589,,,,,,,,,,,,,
Centre County-Pennsylvania,Centre County-Pennsylvania,Centre County,Pennsylvania,0.702607839,0.274160458,1.61E-05,1,1,3,5,17,5.697421048,renter-occupied-households,,,,,,,,,,,,,,-0.00020741,,,,,,,,,,,,,
Harlan County-Kentucky,Harlan County-Kentucky,Harlan County,Kentucky,0.701277209,0.80929123,1.67E-05,1,0,3,4,17,4.012385472,median-property-value,,,,,,,,,,,,,,-7.57E-05,,,,,,,,,,,,,
Woodbury County-Iowa,Woodbury County-Iowa,Woodbury County,Iowa,0.700619975,0.092222266,0.000155413,1,1,3,5,16,20.58292645,pct-am-ind,renter-occupied-households,,,,,,,,,,,,,-2.44510705,-0.001025447,,,,,,,,,,,,
Gilmer County-Georgia,Gilmer County-Georgia,Gilmer County,Georgia,0.700014013,0.301879078,0.000809948,1,1,3,5,11,17.51369626,rent-burden,,,,,,,,,,,,,,-0.489685468,,,,,,,,,,,,,
Lincoln County-Oregon,Lincoln County-Oregon,Lincoln County,Oregon,0.699599441,0.235054883,3.29E-05,1,1,3,5,16,7.07132091,median-gross-rent,,,,,,,,,,,,,,-0.007134992,,,,,,,,,,,,,
Fauquier County-Virginia,Fauquier County-Virginia,Fauquier County,Virginia,0.699065007,0.137930667,1.77E-05,1,1,3,5,17,0.939957247,pct-am-ind,,,,,,,,,,,,,,8.261080234,,,,,,,,,,,,,
Madison County-Alabama,Madison County-Alabama,Madison County,Alabama,0.698176822,0.162334425,3.40E-05,1,1,3,5,16,4.936298077,pct-other,,,,,,,,,,,,,,-18.00961538,,,,,,,,,,,,,
Lincoln County-Washington,Lincoln County-Washington,Lincoln County,Washington,0.697425665,0.512409537,1.84E-05,1,0,3,4,17,2.797527966,median-property-value,,,,,,,,,,,,,,-1.82E-05,,,,,,,,,,,,,
Clark County-Washington,Clark County-Washington,Clark County,Washington,0.696261008,0.133452912,1.90E-05,1,1,3,5,17,4.654045825,renter-occupied-households,,,,,,,,,,,,,,-6.02E-05,,,,,,,,,,,,,
Floyd County-Virginia,Floyd County-Virginia,Floyd County,Virginia,0.69612493,0.265473882,9.40E-05,1,1,3,5,17,-1.93075295,rent-burden,pct-af-am,,,,,,,,,,,,,0.246881897,-0.759156,,,,,,,,,,,,
Childress County-Texas,Childress County-Texas,Childress County,Texas,0.695991511,0.681077062,9.42E-05,1,0,3,4,17,6.451513417,rent-burden,renter-occupied-households,,,,,,,,,,,,,0.058797098,-0.01063946,,,,,,,,,,,,
DeKalb County-Indiana,DeKalb County-Indiana,DeKalb County,Indiana,0.694797692,0.12037637,0.000176141,1,1,3,5,16,5.948007204,pct-multiple,pct-other,,,,,,,,,,,,,1.750875064,-30.32219173,,,,,,,,,,,,
San Mateo County-California,San Mateo County-California,San Mateo County,California,0.693888218,0.165622481,7.04E-05,1,1,3,5,15,6.951824127,population,,,,,,,,,,,,,,-8.64E-06,,,,,,,,,,,,,
Ford County-Kansas,Ford County-Kansas,Ford County,Kansas,0.692727302,0.177029575,0.000253757,1,1,3,5,13,9.067547233,renter-occupied-households,,,,,,,,,,,,,,-0.001918265,,,,,,,,,,,,,
Hutchinson County-Texas,Hutchinson County-Texas,Hutchinson County,Texas,0.692684947,0.4212826,0.000253955,1,0,3,4,13,-3.994492614,median-property-value,,,,,,,,,,,,,,9.16E-05,,,,,,,,,,,,,
Norfolk city-Virginia,Norfolk city-Virginia,Norfolk city,Virginia,0.692383058,0.099556906,0.00025537,1,1,3,5,13,28.32344477,pct-asian,,,,,,,,,,,,,,-6.009894287,,,,,,,,,,,,,
Saline County-Illinois,Saline County-Illinois,Saline County,Illinois,0.691926917,0.104499162,0.000484764,1,1,3,5,12,0.833478993,pct-multiple,,,,,,,,,,,,,,0.732860598,,,,,,,,,,,,,
Johnson County-Kansas,Johnson County-Kansas,Johnson County,Kansas,0.690496973,0.123125098,2.19E-05,1,1,3,5,17,1.895145631,pct-nh-pi,,,,,,,,,,,,,,21.25350593,,,,,,,,,,,,,
Androscoggin County-Maine,Androscoggin County-Maine,Androscoggin County,Maine,0.690484443,0.130700698,7.57E-05,1,1,3,5,15,-14.39056209,renter-occupied-households,,,,,,,,,,,,,,0.001097811,,,,,,,,,,,,,
Dorchester County-South Carolina,Dorchester County-South Carolina,Dorchester County,South Carolina,0.689317777,0.301544226,0.006606771,1,1,3,5,8,-17.66418472,renter-occupied-households,,,,,,,,,,,,,,0.001329914,,,,,,,,,,,,,
LaPorte County-Indiana,LaPorte County-Indiana,LaPorte County,Indiana,0.689225021,0.135052381,2.26E-05,1,1,3,5,17,-3.273652069,median-property-value,,,,,,,,,,,,,,6.20E-05,,,,,,,,,,,,,
Cottonwood County-Minnesota,Cottonwood County-Minnesota,Cottonwood County,Minnesota,0.688644252,0.777783403,2.30E-05,1,0,3,4,17,-0.160070813,pct-am-ind,,,,,,,,,,,,,,0.729946634,,,,,,,,,,,,,
Bannock County-Idaho,Bannock County-Idaho,Bannock County,Idaho,0.688323654,0.241166729,7.93E-05,1,1,3,5,15,-6.902121976,rent-burden,,,,,,,,,,,,,,0.285231228,,,,,,,,,,,,,
Carroll County-Tennessee,Carroll County-Tennessee,Carroll County,Tennessee,0.688265776,0.252736233,0.000655822,1,1,3,5,14,2.718916373,median-household-income,pct-multiple,,,,,,,,,,,,,-9.67E-05,1.440118915,,,,,,,,,,,,
Van Zandt County-Texas,Van Zandt County-Texas,Van Zandt County,Texas,0.687298029,0.214001917,4.38E-05,1,1,3,5,16,-1.22092395,median-gross-rent,,,,,,,,,,,,,,0.003718395,,,,,,,,,,,,,
Sandusky County-Ohio,Sandusky County-Ohio,Sandusky County,Ohio,0.686267137,0.206945584,0.000117483,1,1,3,5,17,-1.107285689,poverty-rate,median-gross-rent,,,,,,,,,,,,,0.296299775,0.000654388,,,,,,,,,,,,
Lehigh County-Pennsylvania,Lehigh County-Pennsylvania,Lehigh County,Pennsylvania,0.685197544,0.140496554,2.50E-05,1,1,3,5,17,18.39551378,renter-occupied-households,,,,,,,,,,,,,,-0.000337065,,,,,,,,,,,,,
Jennings County-Indiana,Jennings County-Indiana,Jennings County,Indiana,0.68468994,0.209341885,0.000158432,1,1,3,5,14,15.39235983,renter-occupied-households,,,,,,,,,,,,,,-0.005275114,,,,,,,,,,,,,
Campbell County-Virginia,Campbell County-Virginia,Campbell County,Virginia,0.683851877,0.180756862,0.004091875,1,1,3,5,11,12.34867811,median-property-value,pct-other,,,,,,,,,,,,,-1.16E-05,-28.06215213,,,,,,,,,,,,
Polk County-Minnesota,Polk County-Minnesota,Polk County,Minnesota,0.683214076,0.711366762,0.000125724,1,0,3,4,17,-0.653626925,pct-nh-pi,renter-occupied-households,,,,,,,,,,,,,4.804276753,0.000195118,,,,,,,,,,,,
Dodge County-Wisconsin,Dodge County-Wisconsin,Dodge County,Wisconsin,0.682638193,0.100424728,4.87E-05,1,1,3,5,16,-4.154340681,renter-occupied-households,,,,,,,,,,,,,,0.000646039,,,,,,,,,,,,,
Delta County-Colorado,Delta County-Colorado,Delta County,Colorado,0.681859816,0.192877032,9.10E-05,1,1,3,5,15,6.990811154,poverty-rate,,,,,,,,,,,,,,-0.464579155,,,,,,,,,,,,,
McLean County-Illinois,McLean County-Illinois,McLean County,Illinois,0.680880532,0.173502668,2.77E-05,1,1,3,5,17,0.06827957,pct-nh-pi,,,,,,,,,,,,,,85.47849462,,,,,,,,,,,,,
Spencer County-Kentucky,Spencer County-Kentucky,Spencer County,Kentucky,0.679564341,0.789506421,2.86E-05,1,0,3,4,17,4.916710804,population,,,,,,,,,,,,,,-0.000278624,,,,,,,,,,,,,
Garza County-Texas,Garza County-Texas,Garza County,Texas,0.678575339,0.479518998,2.93E-05,1,0,3,4,17,2.294256948,median-gross-rent,,,,,,,,,,,,,,-0.00309995,,,,,,,,,,,,,
Powell County-Kentucky,Powell County-Kentucky,Powell County,Kentucky,0.678531938,0.65070218,5.34E-05,1,0,3,4,16,18.70158876,population,,,,,,,,,,,,,,-0.00138416,,,,,,,,,,,,,
Monroe County-Pennsylvania,Monroe County-Pennsylvania,Monroe County,Pennsylvania,0.678530397,0.14504712,2.93E-05,1,1,3,5,17,10.75583251,renter-occupied-households,,,,,,,,,,,,,,-0.000613414,,,,,,,,,,,,,
Caldwell County-Missouri,Caldwell County-Missouri,Caldwell County,Missouri,0.677837816,0.428119823,2.98E-05,1,0,3,4,17,-45.33507329,population,,,,,,,,,,,,,,0.00508183,,,,,,,,,,,,,
Kaufman County-Texas,Kaufman County-Texas,Kaufman County,Texas,0.675911944,0.282944075,3.12E-05,1,1,3,5,17,-24.38196901,pct-af-am,,,,,,,,,,,,,,2.756381012,,,,,,,,,,,,,
Caldwell County-Texas,Caldwell County-Texas,Caldwell County,Texas,0.6755567,0.158356913,0.000462543,1,1,3,5,15,-1.528428743,pct-renter-occupied,pct-multiple,,,,,,,,,,,,,0.176413132,-2.57663035,,,,,,,,,,,,
Montgomery County-Texas,Montgomery County-Texas,Montgomery County,Texas,0.675488981,0.136924933,3.15E-05,1,1,3,5,17,6.249562612,pct-hispanic,,,,,,,,,,,,,,-0.170488377,,,,,,,,,,,,,
Pawnee County-Kansas,Pawnee County-Kansas,Pawnee County,Kansas,0.675176536,0.367368846,3.18E-05,1,0,3,4,17,1.984253433,poverty-rate,,,,,,,,,,,,,,-0.153962468,,,,,,,,,,,,,
Mono County-California,Mono County-California,Mono County,California,0.674679371,0.530382489,3.21E-05,1,0,3,4,17,-0.087852426,poverty-rate,,,,,,,,,,,,,,0.04180001,,,,,,,,,,,,,
